id_penyelenggara;Penyelenggara;URL Penyelenggara
92;Rumah Zakat;https://www.facebook.com/RumahZakatSulSel/posts/digital-social-initiative-challenge-digital-social-initiative-challenge-dsic-ada/2365440173724055/
93;Fakultas Komunikasi dan Bisnis Telkom University;https://studentstelkomuniversity.com/international-short-movie-photography-festival-tel-u-2016/
94;Universiti Sains Malaysia;http://www.alumni.usm.my/index.php/12-news-events/41-news-1
95;Politeknik Negri Bandung, Telkom University & Universitas Pendidikan Indonesia;https://www.facebook.com/telkomuniversity/posts/program-studi-d3-perhotelan-telkom-university-bekerjasama-dengan-politeknik-nege/796669187134731/
96;"UPI;POLBAN;STP,TELU,Stiepar Yapari Aktripa";http://www.kompetisipariwisataindonesia.com/
97;Himpunan Mahasiswa Teknik Industri Telkom University;https://www.instagram.com/increase_teluniv/
98;Himpunan Mahasiswa Jurusan Teknik Informatika;https://studn.id/page/activity/344
99;Universitas Diponegoro (UNDIP);
100;Universitas Sumatera;
101;Universitas Trisakti;http://www.online.feb.trisakti.ac.id/download/ProfileFEBUsakti.pdf
102;Masyarakat Anti Fitnah Indonesia (Mafindo);https://drive.google.com/file/d/1cTd_e2ato3uz2dzbljBID15QFLPTWeI1/view
103;BEM Fakultas Psikologi Universitas Negeri Jakarta;
104;Barcelona, Spanyol;
105;Bank Negara Indonesia, Malang Creative Fusion & Komunitas STASION;http://www.bnihackfest.com/
106;Asosisasi Pendidikan Tinggi Informatika dan Komputer (APTIKOM);http://jabar.aptikomfest.web.id/
107;Teknik Elektro Universitas Trisakti;http://eventjakarta.com/?event=radiowave-drone-race-competition-2017
108;Nanyang Polytechnic Singapore;http://guppy.mpe.nus.edu.sg/srg/
109;KONI, Surabaya, Indonesia;https://www.marinetech.org/rov-competition-2/
110;Universitas Pelita Harapan;
111;TELU;
112;MIZUNO;https://mail.google.com/mail/u/1/#inbox/FMfcgxvzKtQsXkNsPWXtVfJVmlbRZsnG?projector=1&messagePartId=0.1
113;HIMALKOM IPB;https://www.codepolitan.com/it-today-2018-5b4f143a1ff2c
114;DISKOMINFO;https://www.pikiran-rakyat.com/bandung-raya/pr-01317964/safitek-2019-kabupaten-bandung-diisi-kompetisi-e-sport-dan-start-up
115;Indonesia Banking School;http://ibs.ac.id/event/jakarta-economic-forum-2019/
116;IEEE Region 10 SAC;http://sac.ieeer10.org/competitions/
117;UKM Bola Voli ITB;https://www.google.co.id/interstitial?url=http://sadev.telkomuniversity.ac.id/2017/01/31/ukm-voli-putri-telkom-university-raih-juara-2-di-itb-volleyball-cup/
118;Unit Bola Voli Universitas Katolik Parahyangan;http://news.unair.ac.id/en/2018/02/14/unair-volleyball-club-wins-second-place-mvp-unpar/
119;POLTEKKES KEMENKES JAKARTA II;http://www.poltekkesjkt2.ac.id/index.php?option=com_content&view=article&id=1083&Itemid=356
120;POLBAN, UPI, & STPB;
121;Universitas Bakrie;
122;Politeknik Bandung;http://kmli.polban.ac.id/
123;Kopertis IV;
124;Marine Advanced Technology Education (MATE) dan Sekolah Robot Indonesia;http://rovcontest.id/
125;UKSS Institut Teknologi Bandung.;
126;Jakarta Fashion Week 2020;https://wardahbeauty.typeform.com/to/T3bn7q
127;INKAI Sekoci 989;
128;Institut Teknologi 10 November;https://telkomuniversity.ac.id/tim-tel-u-menjadi-juara-di-multimedia-and-game-event-mage-di-its/
129;Sekolah Tinggi Perikanan Jakarta;https://instagram.com/fisiontical_stp?igshid=1nscoqk5vxek4
130;Himpunan Mahasiswa STIE MNC Jakarta;https://www.instagram.com/p/CD0t2vaAH6b/?utm_source=ig_web_copy_link
131;ITS Surabaya;
132;Kominfo dan Media Indonesia;https://kominfo.go.id/content/detail/7125/workshop-untuk-perkuat-konten-digital/0/kidi
133;Inkai Ciomas, Bogor;https://www.google.co.id/interstitial?url=http://sadev.telkomuniversity.ac.id/2017/02/28/ukm-karate-telkom-university-raih-5-medali-di-kejuaraan-karate-ciomas-cup-vi-2017/
134;BKC Kepulauan Riau;http://bkcbatam.or.id/
135;STKIP PASUNDAN CUP ;https://champ.inkanasjabar.org/jviag
136;IEEE Indonesia Section;http://ieee.id/ieee-indonesia-student-congress-2017/
137;MSS FEB Universitas Indonesia;
138;Universitas Islam Negeri Sunan Gunung Djati Bandung;http://lomba.asia/10452-event-annual-saeed-national-competition-asnc-2018-uin-sunan-gunung-djati
139;Himpunan Mahasiswa Bahasa Jepang  Universitas Pendidikan Indonesia;https://japanzukishow.weebly.com/sk-band-audition.html
140;Jakarta;
141;Universitas Bangka Belitung;
142;UKM SoftballBaseball Telkom Riverside;https://www.instagram.com/p/B848qvfp4_B/?igshid=d5k8qb0f3o8d
143;RistekDikti;https://drive.google.com/drive/folders/17DCaVzXoxwChxS4vM1O8nKMfQkVhyakU?usp=sharing
144;Asosiasi Aspiluki seAsia Pasifik;
145;IBM 4YFN (4 Years From Now), AT&T, KPN, Rogers Communications, and Vodafone;
146;Microsoft;
147;ITS  Surabaya;https://eventsurabaya.net/event/ide-art-2017/
148;STT Purwokerto;https://www.codepolitan.com/hackathon-in-festifora-challenge-2017
149;Battle Of Campus dengan PENGDA PERBASI;
150;PMB Fakultas Ekonomi dan Bisnis UNSUR;https://www.instagram.com/febi_bbt/
151;Pemprov Jabar;https://deskgram.co/festivalfilmjabar?next_id=1383294774941024979_2216113057
152;Universitas Kristen Petra Surabaya;
153;Universitas Bina Nusantara Jakarta;
154;UKM KEWIRAUSAHAAN UIN BANDUNG;https://www.facebook.com/eventbanget/posts/1289678117797018:0
155;Himpunan Mahasiswa Akuntansi Telkom University;http://himakunitel.blogspot.com/2018/
156;FKB  TelU;
157;BEM Fakultas Ilmu Sosial dan Ilmu Politik Universitas Padjadjaran;
158;Universitas Widyatama;http://www.widyatama.ac.id/widyatama-technology-event/
159;IIB Darmajaya;https://www.darmajaya.ac.id/telkom-university-raih-piala-bergilir-manajemen-fair-2019-iib-darmajaya/
160;Tax Center Politeknik Pos Indonesia bekerjasama dengan Kantor Wilayah Direktorat Jenderal Pajak (Kanwil DJP) Wajib Pajak Besar Jakarta;
161;Kiryokukai Indonesia dan Universitas Padjadjaran;https://www.instagram.com/aikidounpad/
162;UMKM;https://drive.google.com/file/d/1cTd_e2ato3uz2dzbljBID15QFLPTWeI1/view?usp=sharing
163;Universitas Dian Nuswantoro, Semarang;https://eventpelajar.com/dinacom-2019-dinus-application-competition/
164;UKM karate Universitas Pakuan Bogor;https://instagram.com/ukmkarateunpak?igshid=7ls5bkq1kxxv
165;UKM Karate Fakultas Peternakan Universitas Jenderal Soedirman;https://drive.google.com/open?id=1iwo0J0RxRh13g8IYqfXTMUjyMdrmLCvD
166;Liga Mahasiswa;https://olahraga.kompas.com/read/2017/08/07/08081561/juara-baru-pada-lima-futsal-wjc
167;Kementerian Pertahanan Indonesia;
168;IdSIRTII (Indonesian Security Incident Response Team On Internet Infrastructure);
169;Lomba Cyber Jawara 2016;
170;Dinas Perindustrian dan Perdagangan Jabar;https://documents.tips/documents/lomba-foto-produk-unggulan-jabar-menjadi-raja-di-tidak-diperkenankan-mencantumkan.html
171;DKM Ulul Albab  UNPAS;http://www.unpas.ac.id/
172;Kejuaraan Taekwondo Sendy Depok Open 2015;http://taekwondo-depok.blogspot.com/2014/09/kejuaraan-taekwondo-sendy-depok-open.html
173;PENGCAB T.I Kota Depok;https://konidepok.or.id/sendy-depok-open-2-taekwondo-kota-depok/
174;Fakultas Teknik Universitas Indonesisa;
175;Fakultas MIPA Universitas Padjadjaran Jatinangor;
176;Universitas Erlangga ,Surabaya;https://www.instagram.com/hipmiptunair/
177;PERMATA FAKULTAS TEKNIK UNIVERSITAS SRIWIJAYA;http://www.permata.ft.unsri.ac.id/
178;Universitas Mataram, Mataram;https://www.facebook.com/SBD.UNRAM2017/
179;Universitas Sumatera Utara (USU);https://www.codepolitan.com/kompetisi-it-itfest-3-0-2019
180;Bank Indonesia;
181;Fakultas Elektro Institut Teknologi Sepuluh Nopember;http://mage.telematics.its.ac.id/
182;IPSI Kota Cimahi;https://www.facebook.com/pg/infopcoc/posts/
183;Singapore Silat Federation (SSF);https://www.instagram.com/sgsilat/
184;Universitas Syiah Kuala Banda Aceh;http://che.unsyiah.ac.id/id/lomba-karya-ilmiah-nasional-lktin-cheers-2019
185;Teknik Elektor, Universitas Gadjah Mada;http://findit.ft.ugm.ac.id
186;Universitas Telkom & Politeknik Negeri Bandung;http://www.prfmnews.com/berita.php?detail=ini-daftar-pemenang-kompetisi-pariwisata-indonesia-ke10
187;International Model United Nations ;https://www.internationalmun.org
188;Badan Eksekutif Mahasiswa STIE Ekuitas;http://ekuitas.ac.id/
189;Bank CIMB;http://bit.ly/CIMB_ASC16
190;Universitas Katolik Parahyangan (UNPAR);
191;Universitas Ahmad Dahlan;https://eventpelajar.com/lomba-perancangan-prototype-aplikasi-web-dan-mobile/
192;International Stundent Association dan PPI UUM;https://www.facebook.com/UUMinternationalstudentssociety/posts/475704102618967/
193;2Madison Gallery & Art Space;
194;UKM Student Activities for Research and Competition Handling (SEARCH) Telkom University;
195;Badan Eksekutif Mahasiswa Fakultas Ekonomi Universitas Riau;http://bpc-aci2017fekonur.blogspot.com/
196;UKM SEARCH Telkom University;https://www.instagram.com/jbc_telkomuniv/?hl=id
197;UNIVERSITAS INDONESIA VOKASI;https://www.instagram.com/economicfest_ui/
198;Segi College, Subang Jaya, Malaysia;https://milsetasia.org/2019/04/28/wice-world-innovation-competition-and-exhibition-malaysia-2-6-october-2019/?lang=en
199;KONI;
200;blibli.com;https://www.ligamahasiswa.com/category/lima-basketball-blibli-com-wjc-season-7/
201;Institut Teknologi Bandung;https://fmipa.itb.ac.id/mathematical-analysis-and-geometry-day-magd-ix-2016/
202;IEEE Indonesia Section & Universitas Ieee Udayana;
203;IEEE Region 10 Asia Pasific;
204;Polda Jawa Timur;http://festivalkreatif.com/lomba-film-pendek-police-movie-festival-4-2017/
205;INKAI CIOMAS;https://stie.dewantara.ac.id/selamat-atas-perolehan-medali-ciomas-karate-open-piala-bupati-2019/
206;Universitas Gajah Mada;http://chronics.ft.ugm.ac.id/
207;HIMAMA IBI Darmajaya Lampung;https://www.instagram.com/managementfair_dj
208;Kompas dan Kota Baru Parahyangan;
209;Lembaga Inkubasi Kewirausahaan Mahasiswa Universitas Islam;http://motivatorbisnis.co.id/event/detail/ENTREPRENEURSHIP_SEMINAR_AND_BUSINESS_PLAN_COMPETITION
210;universitas telkom;https://instagram.com/digi.prbookfest?igshid=eor1qgbysjsy
211;Perbanas Institute;
212;Fakultas MIPA UDAYANA;http://invention.cs.unud.ac.id
213;Lap. Basket UNSUR & GOR GGM Panembong Cianjur;https://www.instagram.com/febi_unsur/?hl=en
214;Technoplast;
215;Bina Nusantara University;https://www.instagram.com/p/B5ZM28nFPV5/?hl=id
216;Universitas Kristen Indonesia;https://instagram.com/ssdc2k19?igshid=1xa4d9z79ukkx
217;STIE Ekuitas Bandung;https://www.instagram.com/p/BfuDoL9hW5p/?hl=en
218;Himpunan Mahasiswa Managemen Universitas Muhamadiyah Yogyakarta;http://www.mgfestivalumy.com/
219;Himpunan Mahasiswa Informatika Institut Teknologi Bandung;https://arkavidia.id/
220;HMM UNHAS ( HIMPUNAN MAHASISWA MESINUNIVERSITAS HASANUDDIN ) MAKASSAR;https://instagram.com/ieic2018?utm_source=ig_profile_share&igshid=1n2j2hqrqn9rb
221;Geomatika Institut Teknologi Sepuluh Nopember;http://geosentric-its.com/
222;IEEE ;https://mtt.org/mtt-sat-challenge/
223;Kementerian Koperasi dan Usaha Kecil dan Menengah;
224;Universitas Amikom Yogyakarta;https://amicta.amikom.ac.id/
225;HIMAKOMSI UGM;http://vocomfest.com/
226;Himpunan Mahasiswa IBI Darmajaya Lampung;
227;Himpunan Mahasiswa Teknik Pertanian Fakultas Teknologi Pertanian Universitas Udayana;https://hi-in.facebook.com/arenalombacom/posts/1195450023981524:0
228;Telkom Indonesia;http://ics2c.id/
229;Telecommunication Big Event, Himpunan Mahasiswa Teknik Telekomunikasi;
230;BITE ( Binus International Trading Enterprise );
231;UKKI PENS;http://ukki.pens.ac.id/imf/
232;HIMA Manajemen Universitas Andalas;http://www.hmjmunand.com/2017/03/hallo-generasi-muda-berjiwa-usaha.html
233;HIMAMA FEB Universitas Muhammadiyah Yogyakarta;https://mgfestivalumy.wixsite.com/the-3rd-iscombus
234;Universitas Muhammadiyah Yogyakarta;https://eventkampus.com/event/detail/3355/the-3rd-iscombus-international-student-conference-on-management-and-business-studies
235;Search Telkom University;https://twitter.com/JBC_TelkomUniv/status/1178355614541438976
236;Universitas Parahyangan;
237;ISBI BANDUNG;https://www.google.com/search?q=AICAD+(Asian+International+Conference+of+Art+%26+Design)+Invention+2017+ISBI+BANDUNG&oq=AICAD+(Asian+International+Conference+of+Art+%26+Design)+Invention+2017+ISBI+BANDUNG&aqs=chrome..69i57.2181j0j7&sourceid=chrome&ie=UTF-8
238;STEI ITB, LPIK ITB, Smart Indonesia Initiative,  BlackBerry Innovation Center (BBIC);
239;Monash University Malaysia, Departemen kesehatan, Malaysia Communication and Multimedia Commission (MCMC), dan CREST bekerja sama dengan Sunway Medical Center;
240;Yayasan Pelita Ilmu dan Forum Peduli Kesehatan Remaja Indonesia;https://www.instagram.com/p/BT3ch1uFDfi/?hl=id&taken-by=yayasanpelitailmu
241;UI;
242;Badan Kekeluargaan Fakultas Ilmu Sosial dan Ilmu Politik Universitas Warmadewa;https://www.instagram.com/p/BoWfwP4A4jJ/?utm_source=ig_share_sheet&igshid=1juo64se504u3
243;IPDN Jatinangor;https://www.instagram.com/p/BuqUpUzA8BE/
244;Dinas Pemuda Olah Raga Kebudayaan dan Pariwisata;
245;Association of Culinary Professionals Indonesia (ACP) & World Association of Chefs Societies (WACS);https://www.worldchefs.org/Event/607aa9421784d4920ba4b482e321f3183846f140
246;Unit latihan taekwondo, Alligator Bandung;https://fokusjabar.co.id/2019/07/20/sebanyak-452-atlet-taekwondo-ikuti-gelaran-alligator-cup-2019/
247;Institut Taekwondo Nusantara;https://instagram.com/itnopen?igshid=oobg9mhce80x
248;Alligator Taekwondo Club;https://fokusjabar.co.id/2019/07/20/sebanyak-452-atlet-taekwondo-ikuti-gelaran-alligator-cup-2019/
249;Data Science Indonesia & DISKOMINFO Bandung;
250;Universitas Khatolik Parahyangan;
251;Yayasan Keluarga Pahlawan Negara;http://dac.telkomuniversity.ac.id/wp-content/uploads/2017/02/LPABI-LKTI-AA-YKPN.jpg
252;Pangcab Taekwondo Kabupaten Bandung;https://m.facebook.com/groups/1374964096148360/1565461220431979/
253;ITN GRUP , METRO GRUP, ITENAS GRUP, GTK GRUP;https://www.pikiran-rakyat.com/olahraga/pr-01252085/taekwondo-bandung-inten-juara-umum-pandawa-cup
254;Kementrian Kelautan dan Perikanan Asosiasi Budidaya Mutiara Indonesia;
255;Institut Koperasi Indonesia;http://conferences.uin-malang.ac.id/index.php/semnasfe/article/download/722/268/
256;Indonesian Young Scientist Association;https://instagram.com/istec.official?igshid=p0cw2yqx8nc6
257;SIAL Interfood Jakarta;https://www.worldchefs.org/Event/aee06fcf34ff734d65baf18ed884760fb83607de
258;SIAL InterFOOD Association Culinary Professionals World Association Of Chefs Societies;https://www.instagram.com/interfoodexpo/
259;CV. Kreasi Nusantara;http://ilutionship2017.blogspot.co.id/
260;Warung Pintar dan Pemerintahan Banyuwangi;https://hackathon-pintar.devpost.com/
261;PT PLN (Persero) Pusat;http://www.plnunjukenergimu.com/
262;SEARCH TEL U;https://www.instagram.com/p/BuNVjVegs_A/?igshid=7n7ir6y8hyol
263;Padepokan Pencak Silat Paku Bumi;https://pencaksilatpakubumi.com/proposal-pakubumi-open-cup-ke-7-bandung.pdf
264;YPN Karangturi, Semarang;https://www.k-icc.id/id/
265;Universitas Andalas Padang;
266;KEMDIKBUD ( Kementrian Pendidikan dan Kebudayaan );http://bit.ly/lombaposterdikti
267;Center for Learning Excellence  TelU;
268;Anugerah Archery Club;https://gramho.com/media/2131095915782502042
269;Student English Society Telkom University;https://tacestelkomuniv.wixsite.com/tacestelkomuniv
270;Feb  Telkom University ;https://timeline.line.me/post/_deVxseyqBt2u1UWoBnI_DzUfCdbBAF1tGQbmAm8/1158202513007013618
271;Akademi Akuntansi YKPN Yogyakarta;http://aaykpn.com/agenda/read/93
272;Universitas Widyatama dan LLDIKTI Wilayah 4;https://www.lldikti4.or.id/2019/11/widyatama-international-academic-competitions-and-exhibitions-2019/
273;Binus University;http://yce.bpreneur.org/
274;Technoplast Jakarta;http://infosayembara.com/info-lomba.php?judul=technoplast-video-animation-competition-2017-win-prize-idr-50-millions
275;BAPPEDA LITBANG;http://beritamagelang.id/persiapkan-karyamu-lomba-krenova-2019-dimulai
276;PT Trisinar Indopratama (Technoplast);
277;Wardah;https://www.youtube.com/watch?v=_VrkfGeY1TA
278;Universitas Airlangga;
279;PB GABSI (Gabungan Bridge Seluruh Indonesia);
280;Pengurus Besar Gabungan Bridge Seluruh Indonesia (PB GABSI);
281;FKB;https://www.instagram.com/sigma2020_/
282;Fakultas Ekonomi dan Bisnis UIN Syarif Hidayatullah Jakarta;http://www.lomba.or.id/2017/09/national-economic-debate-competition.html
283;Fakultas Perikanan Ilmu Kelautan Universitas Padjajaran;
284;Unit Kegiatan Mahasiswa Rekayasa Teknologi Universitas Negeri Yogyakarta;http://unity.restek-uny.org/
285;BEM FEB Telkom University;
286;Fakultas Matematika dan Ilmu Pengetahuan Alam ITB;http://www.math.itb.ac.id/2017/03/14/mag-d-2017/
287;Universitas Gadjah Mada (UGM);
288;Senat Fakultas Teknik Widyatama;http://www.widyatama.ac.id/widyatama-technology-event/
289;Universitas Bina Nusantara;
290;Institut Teknologi Surabaya;http://www.geosentric-its.com/
291;Roca Indonesia;http://www.onedaydesignchallenge.net/en/contests/indonesia/indonesia-2019
292;Institut otomotif Indonesia dan kementrian perindustrian RI;https://jpp.go.id/ekonomi/industri/303359-kemenperin-pemegang-hak-paten-mobil-pedesaan
293;Polban & Dikti;http://kmli.polban.ac.id/
294;Politeknik Kesehatan Kemenkes RI Bandung;https://www.facebook.com/hijaberscommunitybandung/photos/a.171746826222428/1660031564060606/?type=1&theater
295;Universitas Atma Jaya Jakarta;https://instagram.com/avic2019?utm_source=ig_profile_share&igshid=1hmlspqlc3p7m
296;Universitas Brawijaya;https://hology.ub.ac.id/public/assets/guideline/sd.pdf
297;Komunitas SKETCHQUE dan GRAHA LUKIS;
298;Singapore Space and Technology Association (SSTA);https://www.space.org.sg/education-and-outreach/singapore-space-challenge
299;Universitas Andalas;
300;Universitas Kristen Maranatha;http://instagram.com/hmmbudiluhur/
301;Interfest;https://interfest.id/competition/impact
302;asosiasi kalisteknik &  Steet workout Indonesia;
303;Alseace (Generasi Peduli Gizi);https://wswcf.org/competitions/world-freestyle-championship-2019/
304;IBI Darmajaya Lampung;https://manajemen.darmajaya.ac.id/id/debat-competition-darmajaya-stie-prasetiya-mandiri-adu-argumen/
305;Unit Kegiatan Mahasiswa SEARCH Telkom University;http://search.org.telkomuniversity.ac.id/
306;Fakultas Komunikasi Dan Bisnis Universitas Telkom;http://www.ipsmfestival.com/
307;Management  President University;https://president.ac.id/p/148-news/detail/567-president-university-team-won-the-grand-economics-
308;Lira Cardsmith;https://www.facebook.com/LirasCardsmith/?fref=ts
309;Himpunan Mahasiswa Teknik Industri Universitas Muhammadiyah Jakarta;http://bit.ly/hmtibp2018
310;Universitas Katolik AtmaJaya;http://volimania.org/index.php?option=com_content&task=view&id=4768&Itemid=75
311;Inters port;http://www.intersport.id
312;Telkom Universitry;
313;IEEE Region 10;https://ieeeyesist12.org/tracks/innovation-challenge/
314;UKSW, Salatiga;http://www.findglocal.com/ID/Salatiga/1651870458399838/Komputerisasi-Akuntansi-UKSW
315;Studec International;https://www.youthweek.asia
316;Universitas Islam Negeri Sunan Ampel;https://drive.google.com/file/d/1cTd_e2ato3uz2dzbljBID15QFLPTWeI1/view
317;UPH;https://instagram.com/hospitour2019?igshid=2mkki60be53b
318;IMP  Indonesia;https://www.facebook.com/misterteenindonesia/
319;Changemaker Indonesia;https://youthrangerindonesia.com
320;Universitas IBI darmajaya Lampung;https://www.instagram.com/managementfair/
321;Binus;http://international.binus.ac.id/2015/01/12/binus-gelar-kompetisi-simulation-business-2015/
322;STMIKSTIE Mikroskil;
323;Jakarta, Kemang, Freeware Space;https://id.techinasia.com/tia-ramadan-fest-2017
324;HIMA Teknologi Informasi  Univ. Udayana;https://itcc-udayana.com/
325;UGM;
326;Samsung Academy Programs;
327;hmpsm Perbanas Institute;https://eventjakarta.com/event/the-15th-perbanas-marketing-debate-competition-pmdc/
328;Nanyang Technology University;http://www.icias.org/
329;Universitas Tarumanagara;https://www.instagram.com/ac_immanta/?hl=en
330;UIN Syarif Hidayatullah Jakarta;https://www.instagram.com/bpc_uinjkt19/
331;Universitas Negeri Yogyakarta;https://www.informasilomba.com/2019/03/lomba-binis-plan-nasional-2019-di-uny.html
332;Departemen Agribisnis Fakultas Ekonomi dan Manajemen IPB;
333;Nihon No Matsuri UKM Nippon BunkaBu;https://www.instagram.com/p/BhRiihdDaTd/?hl=id&taken-by=nihonnomatsuri
334;Cisco Networking Academy;
